exam_type,category,scenario,question_text,option_a,option_b,option_c,option_d,correct_answer,explanation
第52回 学科,5-1 契約,,職務発明に関して、最も適切と考えられるものはどれか。,従業者は特許を受ける権利を発生時から有しないことがある。,企業の取締役は「従業者等」に含まれない。,従業者が権利を譲渡した場合、契約の定めに限り相当の利益を得る。,会社が実施する場合、従業者の許諾が必要。,ウ,特許法第35条。相当の利益を受ける権利は契約等で定めることができ、譲渡時に契約の定めがある場合に限り従業者が相当の利益を得る。
第52回 学科,4-3 コンテンツ保護,,公衆送信権等に関して、最も不適切と考えられるものはどれか。,プログラムの同一構内送信は公衆送信に該当する。,公衆送信には自動公衆送信は含まれない。,レコード製作者の送信可能化権は商業用のみ。,複製権を有する者は出版権を設定できる。,イ,著作権法第23条1項。公衆送信には自動公衆送信が含まれる。イの「含まれない」は誤りで不適切。
第52回 学科,4-4 デザイン保護,,意匠登録を受けることができる意匠として、最も適切と考えられるものはどれか。,出願前に外国で頒布された刊行物に記載された意匠。,出願後に国内で公知になった形状に基づく容易創作意匠。,出願前に電気通信回線を通じて公衆利用可能となった意匠。,外国で公知の形状と模様の結合に基づく容易創作意匠。,ウ,意匠法第3条2項3号。電気通信回線を通じて公衆に利用可能となった意匠は、頒布に該当しないため登録を受けられる場合がある。
第52回 学科,3-1 調査,,J-PlatPatを用いた特許調査に関して、最も適切と考えられるものはどれか。,検索漏れよりも検索ノイズを減らすことが適切である。,目的や用途から検索する場合、FIを用いるのが適切である。,FタームやFIを用いる場合、分類記号の付与ルールを正確に理解しておく必要がある。,Fタームは国際的に統一された分類である。,ウ,Fターム・FIは日本独自の分類であり、付与ルールを正確に理解しないと検索漏れ・ノイズが生じる。Fタームは国際統一ではない。
第52回 学科,5-2 エンフォースメント,,特許権の侵害に関して、最も適切と考えられるものはどれか。,特許権者から購入した製品を転売する行為は侵害となる。,解決策開発のために特許製品を業として使用することは侵害となる。,家庭内での個人的使用は侵害となる。,他人の特許を利用した自己の特許を業として実施する場合は侵害となる。,ア,特許法69条により試験研究目的の使用・家庭内個人的使用は侵害とならない。他選択肢は誤り。転売は原則権利消尽だが、再販売禁止条件違反等一定の転売は侵害と評価される場合がある（正答はア）。
第52回 学科,4-1 ブランド保護,,商標登録が認められる可能性がある商標として、最も適切と考えられるものはどれか。,他人の著名な筆名を含み、承諾を得ている商標。,ある一地方で広く認識されている商標。,ありふれた氏を普通に用いられる方法で表示する標章のみからなり、承諾を得ている商標。,商品の略称を普通に用いられる方法で表示する標章のみからなる商標。,ア,商標法4条1項8号。他人の著名な筆名等は承諾を得れば登録可能。地方的に知られた名称のみ（同項16号）や商品略称のみは登録不可。
第52回 学科,4-3 コンテンツ保護,,著作権法上の引用に関して、最も不適切と考えられるものはどれか。,公正な慣行に合致し、文化の発展に寄与する目的でなければならない。,公表された著作物でなければならない。,引用する著作物の著作権者に補償金を支払う必要はない。,出所を明示しなければならない。,ア,著作権法32条。引用は「公正な慣行に合致し、かつ報道・批評等の正当な目的に供する」ことが必要。目的が文化発展でなければならないとするのは不適切。
第52回 学科,4-2 技術保護,,特許出願等に関して、最も適切と考えられるものはどれか。,出願公開の請求は特許出願人・利害関係人に限られる。,氏名未記載で補完した場合、願書提出日が出願日となる。,特許請求の範囲は詳細な説明に記載したものである必要はない。,公衆衛生を害するおそれがある発明は特許を受けられない。,エ,特許法32条。公衆の保健を害するおそれがある発明は特許を受けられない。出願公開請求は誰でも可能で、補完時の出願日は補完日となる。
第52回 学科,2-1 法務,,種苗法に基づく品種登録制度に関して、最も適切と考えられるものはどれか。,育成者権は特許権同様に延長制度がある。,登録品種と特性により明確に区別されない品種を業として利用する権利を専有する。,存続期間は出願日から20年である。,権利者の意思により譲渡された種苗の利用に及ぶ場合はない。,イ,種苗法19条・20条。登録品種と特性により明確に区別されない品種（DUS未充足）を業として利用する権利を育成者権として専有する。
第52回 学科,5-2 エンフォースメント,,特許権侵害の損害賠償請求に関して、最も適切と考えられるものはどれか。,訴訟提起前に警告書の送付が必須である。,侵害者が受けた利益の額は損害額と推定される。,損害額算定において、侵害者との交渉で決まるであろう額は考慮できない。,譲渡数量が権利者の能力を超える部分は一切考慮できない。,ウ,特許法105条の2。損害額の算定では、侵害者が得た利益の額、実施料相当額、能力を超える数量も考慮し得る。警告書は必須ではない。
